t_min, t_min_minus, t_min_plus, depth, depth_minus, depth_plus, width, width_minus, widthplus, area, area_minus, area_plus, t0, t0_minus, t0_plus, ti, ti_minus, ti_plus, te, te_minus, te_plus, a, a_minus,a_plus,id, w1m, tom, tnt
2460710.373,0.00032,0.00022,0.06765,0.00523,0.00636,0.00264,0.0002,0.0002,0.00018,0.00001,0.00001,2460710.373,0.00026,0.00032,0.00037,0.00021,0.00019,0.00148,0.0003,0.00034,0.11693,0.01602,0.01529,1,0,0,1
2460710.4,0.00023,0.00022,0.14246,0.00209,0.00217,0.01505,0.00031,0.00031,0.00214,0.00004,0.00004,2460710.398,0.00038,0.0004,0.00278,0.00019,0.0002,0.00672,0.00039,0.00039,0.30382,0.00859,0.00855,2,0,0,1
2460712.246,0.00048,0.00053,0.12134,0.00491,0.005,0.01884,0.00121,0.00127,0.00229,0.00015,0.00015,2460712.245,0.00016,0.0002,0.00043,0.00014,0.00017,0.01567,0.00133,0.00144,0.1562,0.00823,0.00879,2,0,0,1
2460712.359,0.00019,0.00019,0.11625,0.00362,0.00382,0.00802,0.00029,0.00029,0.00093,0.00003,0.00003,2460712.357,0.00025,0.00028,0.00115,0.00015,0.00016,0.0042,0.00033,0.00035,0.22147,0.0114,0.01154,3,0,0,1
2460712.381,0.0002,0.00022,0.08539,0.00618,0.00651,0.00309,0.00022,0.00023,0.00026,0.00002,0.00002,2460712.381,0.00024,0.00034,0.00049,0.00015,0.00018,0.00157,0.00029,0.00029,0.16081,0.01703,0.01721,4,0,0,1
2460712.417,0.0002,0.00021,0.08067,0.00414,0.00406,0.0081,0.00047,0.00049,0.00065,0.00004,0.00004,2460712.416,0.0001,0.0001,0.00031,0.00008,0.0001,0.00645,0.0005,0.00056,0.10584,0.00609,0.0061,5,0,0,1
2460712.57,0.00043,0.00044,0.13494,0.01087,0.01124,0.01124,0.00095,0.00101,0.00152,0.00013,0.00014,2460712.568,0.00032,0.00032,0.00067,0.00019,0.00022,0.00796,0.00101,0.00117,0.205,0.02218,0.02401,0,1,0,0
2460713.453,0.00027,0.00023,0.04844,0.00531,0.00543,0.00364,0.00043,0.00046,0.00018,0.00002,0.00002,2460713.452,0.00022,0.00025,0.00033,0.00013,0.00017,0.00238,0.00055,0.00069,0.07357,0.01205,0.01388,1,0,0,1
2460713.593,0.00049,0.00049,0.13483,0.00926,0.00975,0.00924,0.00076,0.00082,0.00125,0.0001,0.00011,2460713.592,0.00043,0.00057,0.00101,0.00032,0.00042,0.00537,0.00077,0.00089,0.24118,0.02527,0.0269,3,1,0,0
2460713.614,0.00037,0.00044,0.09882,0.01177,0.01241,0.00422,0.0006,0.00072,0.00042,0.00006,0.00007,2460713.613,0.00039,0.00066,0.00054,0.00022,0.00035,0.00231,0.00069,0.00088,0.17737,0.03234,0.03518,4,1,0,0
2460714.424,0.00045,0.00051,0.09669,0.01646,0.01823,0.00887,0.00235,0.00379,0.00086,0.00023,0.00037,2460714.423,0.00056,0.00032,0.00034,0.00022,0.00027,0.00691,0.00252,0.00472,0.13008,0.02838,0.03271,0,0,0,1
2460714.72,0.00062,0.00063,0.14271,0.00476,0.00468,0.01559,0.00074,0.00076,0.00222,0.00011,0.00011,2460714.718,0.0011,0.00129,0.00309,0.00047,0.00055,0.00666,0.00114,0.00115,0.30972,0.02152,0.02072,2,1,0,0
2460715.567,0.00048,0.00083,0.1517,0.016,0.01614,0.00795,0.00078,0.00083,0.00121,0.00012,0.00013,2460715.566,0.0002,0.00039,0.00028,0.00016,0.00042,0.00597,0.00088,0.00093,0.22002,0.02622,0.03041,6,1,0,0
